area_fips,own_code,industry_code,year,qtr,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage
36051,5,72,1990,1,109,987,1098,1110,,1978205,0,0,143
36051,5,72,1990,2,107,1184,1243,1277,,2347775,0,0,146
36051,5,72,1990,3,111,1470,1473,1377,,2833292,0,0,151
36051,5,72,1990,4,108,1311,1312,1262,,2660058,0,0,158
36053,5,72,1990,1,151,1710,1733,1801,,2515756,0,0,111
36053,5,72,1990,2,153,1828,1929,1869,,2948545,0,0,121
36053,5,72,1990,3,149,1663,1666,1668,,2949934,0,0,136
36053,5,72,1990,4,147,1791,1725,1749,,3042567,0,0,133
36055,5,72,1990,1,1156,21782,21680,22099,,44980690,0,0,158
36055,5,72,1990,2,1162,22685,23737,23964,,50134299,0,0,164
36055,5,72,1990,3,1168,23137,23139,23048,,49961541,0,0,166
36055,5,72,1990,4,1182,23047,23173,23042,,51969756,0,0,173
36057,5,72,1990,1,106,861,852,858,,1361949,0,0,122
36057,5,72,1990,2,106,923,951,1025,,1648186,0,0,131
36057,5,72,1990,3,105,1012,1009,997,,1753320,0,0,134
36057,5,72,1990,4,105,911,886,874,,1544354,0,0,133
36059,5,72,1990,1,2523,29957,29794,30423,,81104911,0,0,208
36059,5,72,1990,2,2547,30914,32838,34400,,89521302,0,0,210
36059,5,72,1990,3,2586,33117,33173,33437,,93253410,0,0,216
36059,5,72,1990,4,2598,31941,31815,31487,,96236633,0,0,233
36061,1,72,1990,1,1,234,231,229,,238883,0,0,79
36061,1,72,1990,2,1,229,229,229,,242221,0,0,81
36061,1,72,1990,3,1,225,225,225,,239790,0,0,82
36061,1,72,1990,4,1,237,426,302,,367433,0,0,88
36061,5,72,1990,1,5664,109950,109635,110496,,457117222,0,0,320
36061,5,72,1990,2,5705,109602,111685,112539,,480113899,0,0,332
36061,5,72,1990,3,5715,108533,108272,109852,,456988994,0,0,323
36061,5,72,1990,4,5685,110159,110367,111628,,534971052,0,0,372
36063,1,72,1990,1,1,57,58,60,,98489,0,0,130
36063,1,72,1990,2,1,58,60,59,,128504,0,0,168
36063,1,72,1990,3,1,58,58,47,,110735,0,0,157
36063,1,72,1990,4,1,47,47,47,,89139,0,0,146
36063,5,72,1990,1,527,5938,6010,6199,,10444813,0,0,133
36063,5,72,1990,2,541,6331,6875,7177,,12187114,0,0,138
36063,5,72,1990,3,538,7075,7157,6995,,13347119,0,0,145
36063,5,72,1990,4,549,6744,6547,6560,,12394009,0,0,144
36065,5,72,1990,1,539,5657,5604,5872,,9587733,0,0,129
36065,5,72,1990,2,543,6322,6605,6793,,11572461,0,0,135
36065,5,72,1990,3,545,6689,6781,6684,,12166904,0,0,139
36065,5,72,1990,4,549,6491,6373,6290,,11971091,0,0,144
36067,5,72,1990,1,951,15385,15399,15533,,32042750,0,0,160
36067,5,72,1990,2,956,16282,16589,16963,,35285092,0,0,163
36067,5,72,1990,3,951,16293,16291,16308,,36133248,0,0,171
36067,5,72,1990,4,981,16012,15992,16199,,35848329,0,0,172
36069,5,72,1990,1,209,2368,2308,2498,,4141662,0,0,133
36069,5,72,1990,2,207,2716,3007,3223,,5285467,0,0,136
36069,5,72,1990,3,205,3163,3135,3014,,5927709,0,0,147
